Dataset Name,Observation Date,Series Key,Series Display Name,Observation Value,Unit,Observation Status,Observation Status Comment,Sequence No.,Series name
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-24,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),97.14684622,Million USD,Normal,.......,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-24,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),1903.704018,Million USD,Normal,.......,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-24,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),98.04121152,Million USD,Normal,.......,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-24,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),2432.000492,Million USD,Normal,.......,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-24,TS_GP_EXT_PAKRES_M.Z00070,. Total Reserve Assets (18=1+3+11),16471.22411,Million USD,Normal,,18,Total Reserve Assets
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-24,TS_GP_EXT_PAKRES_M.Z00060,. Total Liquid FX Reserves (19=2+10),13750.2921,Million USD,Normal,,19,Total Liquid FX Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-24,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),4604.7,Million USD,Normal,.,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-24,TS_GP_EXT_PAKRES_M.Z00030,. Net Reserves with SBP (2=4+5-9),8040.4,Million USD,Normal,.,2,Net Reserves with SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-24,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),8137.953506,Million USD,Normal,.,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-24,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),205.26,Million USD,Normal,.......,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-24,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),7835.137156,Million USD,Normal,.......,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-24,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),73.388805,Million USD,Normal,.......,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-24,TS_GP_EXT_PAKRES_M.Z00014,....... ACU Balances Net (7),24.00765516,Million USD,Normal,.......,7,Net Asian clearing unit balances
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-24,TS_GP_EXT_PAKRES_M.Z00015,....... IMF reserve position (8),0.159890526,Million USD,Normal,.......,8,IMF reserve position
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-24,TS_GP_EXT_PAKRES_M.Z00050,. Net Reserves With Banks (10=12-15),4718.893782,Million USD,Normal,.,10,Net Reserves With Banks
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-24,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),3127.087109,Million USD,Normal,.,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-24,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),6465.709903,Million USD,Normal,.......,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-24,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),383.4901518,Million USD,Normal,.......,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-24,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),161.0054664,Million USD,Normal,.......,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-24,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),1746.816121,Million USD,Normal,.......,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-24,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),91.14625557,Million USD,Normal,.......,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-24,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),2045.156035,Million USD,Normal,.......,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-24,TS_GP_EXT_PAKRES_M.Z00070,. Total Reserve Assets (18=1+3+11),15869.74062,Million USD,Normal,,18,Total Reserve Assets
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-24,TS_GP_EXT_PAKRES_M.Z00060,. Total Liquid FX Reserves (19=2+10),12759.2938,Million USD,Normal,,19,Total Liquid FX Reserves
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-24,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),4258.550064,Million USD,Normal,.,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-24,TS_GP_EXT_PAKRES_M.Z00030,. Net Reserves with SBP (2=4+5-9),7953,Million USD,Normal,.,2,Net Reserves with SBP
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-24,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),8065.763402,Million USD,Normal,.,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-24,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),373.0624248,Million USD,Normal,.......,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-24,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),7579.95098,Million USD,Normal,.......,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-24,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),73.388805,Million USD,Normal,.......,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-24,TS_GP_EXT_PAKRES_M.Z00014,....... ACU Balances Net (7),39.201302,Million USD,Normal,.......,7,Net Asian clearing unit balances
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-24,TS_GP_EXT_PAKRES_M.Z00015,....... IMF reserve position (8),0.159890526,Million USD,Normal,.......,8,IMF reserve position
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-24,TS_GP_EXT_PAKRES_M.Z00050,. Net Reserves With Banks (10=12-15),4495.370094,Million USD,Normal,.,10,Net Reserves With Banks
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-24,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),2933.719713,Million USD,Normal,.,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-24,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),6398.176954,Million USD,Normal,.......,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-24,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),194.8731257,Million USD,Normal,.......,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-24,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),168.7688498,Million USD,Normal,.......,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-24,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),1902.80686,Million USD,Normal,.......,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-24,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),85.87963921,Million USD,Normal,.......,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-24,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),1839.412717,Million USD,Normal,.......,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-24,TS_GP_EXT_PAKRES_M.Z00070,. Total Reserve Assets (18=1+3+11),15258.03318,Million USD,Normal,,18,Total Reserve Assets
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-24,TS_GP_EXT_PAKRES_M.Z00060,. Total Liquid FX Reserves (19=2+10),12448.3701,Million USD,Normal,,19,Total Liquid FX Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-24,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),4269.362525,Million USD,Normal,.,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-24,TS_GP_EXT_PAKRES_M.Z00030,. Net Reserves with SBP (2=4+5-9),8161.8,Million USD,Normal,.,2,Net Reserves with SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-24,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),8256.213635,Million USD,Normal,.,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-24,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),531.4332798,Million USD,Normal,.......,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-24,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),7630.32891,Million USD,Normal,.......,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-24,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),73.388805,Million USD,Normal,.......,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-24,TS_GP_EXT_PAKRES_M.Z00014,....... ACU Balances Net (7),20.90275,Million USD,Normal,.......,7,Net Asian clearing unit balances
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-24,TS_GP_EXT_PAKRES_M.Z00015,....... IMF reserve position (8),0.159890526,Million USD,Normal,.......,8,IMF reserve position
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-24,TS_GP_EXT_PAKRES_M.Z00050,. Net Reserves With Banks (10=12-15),4432.389601,Million USD,Normal,.,10,Net Reserves With Banks
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-24,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),2617.408068,Million USD,Normal,.,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-24,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),6350.780723,Million USD,Normal,.......,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-24,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),176.5043661,Million USD,Normal,.......,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-24,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),192.3751147,Million USD,Normal,.......,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-24,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),1918.391122,Million USD,Normal,.......,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-24,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),80.18456227,Million USD,Normal,.......,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-24,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),2103.676452,Million USD,Normal,.......,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-24,TS_GP_EXT_PAKRES_M.Z00070,. Total Reserve Assets (18=1+3+11),15142.98423,Million USD,Normal,,18,Total Reserve Assets
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-24,TS_GP_EXT_PAKRES_M.Z00060,. Total Liquid FX Reserves (19=2+10),12594.1896,Million USD,Normal,,19,Total Liquid FX Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-23,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),4320.989855,Million USD,Normal,.,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-23,TS_GP_EXT_PAKRES_M.Z00030,. Net Reserves with SBP (2=4+5-9),8233.4,Million USD,Normal,.,2,Net Reserves with SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-23,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),8330.988672,Million USD,Normal,.,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-23,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),112.1158838,Million USD,Normal,.......,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-23,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),8121.235,Million USD,Normal,.......,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-23,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),73.388805,Million USD,Normal,.......,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-23,TS_GP_EXT_PAKRES_M.Z00014,....... ACU Balances Net (7),24.089092,Million USD,Normal,.......,7,Net Asian clearing unit balances
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-23,TS_GP_EXT_PAKRES_M.Z00015,....... IMF reserve position (8),0.159890526,Million USD,Normal,.......,8,IMF reserve position
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-23,TS_GP_EXT_PAKRES_M.Z00050,. Net Reserves With Banks (10=12-15),4439.82968,Million USD,Normal,.,10,Net Reserves With Banks
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-23,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),2593.102916,Million USD,Normal,.,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-23,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),6381.113894,Million USD,Normal,.......,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-23,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),140.8599895,Million USD,Normal,.......,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-23,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),93.34256764,Million USD,Normal,.......,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-23,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),1941.284214,Million USD,Normal,.......,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-23,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),91.45556171,Million USD,Normal,.......,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-23,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),1989.473759,Million USD,Normal,.......,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-23,TS_GP_EXT_PAKRES_M.Z00070,. Total Reserve Assets (18=1+3+11),15245.08144,Million USD,Normal,,18,Total Reserve Assets
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-23,TS_GP_EXT_PAKRES_M.Z00060,. Total Liquid FX Reserves (19=2+10),12673.2297,Million USD,Normal,,19,Total Liquid FX Reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-23,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),4231.696882,Million USD,Normal,.,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-23,TS_GP_EXT_PAKRES_M.Z00030,. Net Reserves with SBP (2=4+5-9),7007.5,Million USD,Normal,.,2,Net Reserves with SBP
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-23,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),7089.961698,Million USD,Normal,.,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-23,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),352.5408163,Million USD,Normal,.......,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-23,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),6654.940754,Million USD,Normal,.......,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-23,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),73.388805,Million USD,Normal,.......,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-23,TS_GP_EXT_PAKRES_M.Z00014,....... ACU Balances Net (7),8.935355,Million USD,Normal,.......,7,Net Asian clearing unit balances
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-23,TS_GP_EXT_PAKRES_M.Z00015,....... IMF reserve position (8),0.155968182,Million USD,Normal,.......,8,IMF reserve position
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-23,TS_GP_EXT_PAKRES_M.Z00050,. Net Reserves With Banks (10=12-15),4471.660176,Million USD,Normal,.,10,Net Reserves With Banks
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-23,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),2574.856211,Million USD,Normal,.,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-23,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),6336.46353,Million USD,Normal,.......,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-23,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),135.7606186,Million USD,Normal,.......,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-23,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),135.3282128,Million USD,Normal,.......,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-23,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),1864.803354,Million USD,Normal,.......,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-23,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),96.32130773,Million USD,Normal,.......,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-23,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),2071.571489,Million USD,Normal,.......,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-23,TS_GP_EXT_PAKRES_M.Z00070,. Total Reserve Assets (18=1+3+11),13896.51479,Million USD,Normal,,18,Total Reserve Assets
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-23,TS_GP_EXT_PAKRES_M.Z00060,. Total Liquid FX Reserves (19=2+10),11479.1602,Million USD,Normal,,19,Total Liquid FX Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-23,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),4151.551502,Million USD,Normal,.,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-23,TS_GP_EXT_PAKRES_M.Z00030,. Net Reserves with SBP (2=4+5-9),7473,Million USD,Normal,.,2,Net Reserves with SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-23,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),7561.9341,Million USD,Normal,.,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-23,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),500.182352,Million USD,Normal,.......,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-23,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),6972.848214,Million USD,Normal,.......,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-23,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),73.388805,Million USD,Normal,.......,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-23,TS_GP_EXT_PAKRES_M.Z00014,....... ACU Balances Net (7),15.358761,Million USD,Normal,.......,7,Net Asian clearing unit balances
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-23,TS_GP_EXT_PAKRES_M.Z00015,....... IMF reserve position (8),0.155968182,Million USD,Normal,.......,8,IMF reserve position
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-23,TS_GP_EXT_PAKRES_M.Z00050,. Net Reserves With Banks (10=12-15),4560.317642,Million USD,Normal,.,10,Net Reserves With Banks
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-23,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),2316.399053,Million USD,Normal,.,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-23,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),6307.504667,Million USD,Normal,.......,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-23,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),-1.676970426,Million USD,Normal,.......,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-23,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),59.58595966,Million USD,Normal,.......,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-23,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),1747.187025,Million USD,Normal,.......,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-23,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),101.3104263,Million USD,Normal,.......,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-23,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),2200.517152,Million USD,Normal,.......,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-23,TS_GP_EXT_PAKRES_M.Z00070,. Total Reserve Assets (18=1+3+11),14029.88465,Million USD,Normal,,18,Total Reserve Assets
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-23,TS_GP_EXT_PAKRES_M.Z00060,. Total Liquid FX Reserves (19=2+10),12033.3176,Million USD,Normal,,19,Total Liquid FX Reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-23,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),3888.766129,Million USD,Normal,.,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-23,TS_GP_EXT_PAKRES_M.Z00030,. Net Reserves with SBP (2=4+5-9),7615.5,Million USD,Normal,.,2,Net Reserves with SBP
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-23,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),7692.974431,Million USD,Normal,.,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-23,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),669.6996125,Million USD,Normal,.......,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-23,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),6945.754434,Million USD,Normal,.......,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-23,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),73.388805,Million USD,Normal,.......,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-23,TS_GP_EXT_PAKRES_M.Z00014,....... ACU Balances Net (7),3.97484,Million USD,Normal,.......,7,Net Asian clearing unit balances
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-23,TS_GP_EXT_PAKRES_M.Z00015,....... IMF reserve position (8),0.156740061,Million USD,Normal,.......,8,IMF reserve position
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-23,TS_GP_EXT_PAKRES_M.Z00050,. Net Reserves With Banks (10=12-15),4777.276072,Million USD,Normal,.,10,Net Reserves With Banks
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-23,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),2419.061055,Million USD,Normal,.,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-23,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),6383.920864,Million USD,Normal,.......,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-23,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),-26.76525786,Million USD,Normal,.......,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-23,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),142.0708553,Million USD,Normal,.......,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-23,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),1606.644792,Million USD,Normal,.......,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-23,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),114.3844304,Million USD,Normal,.......,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-23,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),2359.136183,Million USD,Normal,.......,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-23,TS_GP_EXT_PAKRES_M.Z00070,. Total Reserve Assets (18=1+3+11),14000.80162,Million USD,Normal,,18,Total Reserve Assets
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-23,TS_GP_EXT_PAKRES_M.Z00060,. Total Liquid FX Reserves (19=2+10),12392.7761,Million USD,Normal,,19,Total Liquid FX Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Aug-23,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),4038.0382,Million USD,Normal,.,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Aug-23,TS_GP_EXT_PAKRES_M.Z00030,. Net Reserves with SBP (2=4+5-9),7788.1,Million USD,Normal,.,2,Net Reserves with SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Aug-23,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),7888.693321,Million USD,Normal,.,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Aug-23,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),881.3373097,Million USD,Normal,.......,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,31-Aug-23,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),6906.731634,Million USD,Normal,.......,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Aug-23,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),72.088805,Million USD,Normal,.......,6,Cash Foreign Currency with SBP-BSC
